Time	Mean	Median	Upper	Lower
2007.0	144901.26497772336	107750.11362605325	449168.05129930045	69047.62058114978
1878.8649812526735	135206.95328724885	105721.46450132084	387411.3283733199	72682.13471482744
1750.729962505347	115566.85606419804	100957.8169878333	244448.76302821847	68858.53524803175
1622.5949437580205	102146.54413883312	96994.697671619	176950.98399760452	64794.18217788773
1494.459925010694	97496.18734379558	94672.32184409052	150758.34498747878	63014.81858904055
1366.3249062633674	95311.77620679732	93232.46502523172	143520.93544631204	61893.001471765965
1238.189887516041	94210.90450075593	92238.23884318622	141943.72532752913	60735.82862378438
1110.0548687687144	92950.83348431873	90942.71053795065	140027.53447731465	58838.998899556296
981.919850021388	91658.72643520149	89692.71747779341	138446.62377132569	57674.430993905524
853.7848312740616	89909.03102095018	88067.33233218541	136668.68864705754	54926.81105263565
725.6498125267352	87744.4317006014	86042.55144989544	134252.25739640466	52468.635866651966
597.5147937794088	85077.15084780211	83599.81147173455	130971.75135349644	48594.91516106964
469.3797750320824	81724.75465356048	80460.74922475651	126163.06902643251	45579.4431981978
341.244756284756	78690.42394861727	77488.38536874902	121502.79426229019	43257.6557083138
213.1097375374296	76167.43558859998	74774.6527699866	118507.63057256713	41534.37831264489
84.97471879010317	73754.61654255759	72301.31319782336	115918.37656295525	39997.35368437716
-43.16029995722326	71279.70865140019	69684.8243130445	112326.88298993814	38178.32357566992
-171.2953187045497	69474.7126129186	67949.43849690458	110611.50355919226	36827.113528452865
-299.4303374518761	67820.08165812686	66189.97717901516	108740.26459560872	35821.70184604174
-427.5653561992025	66240.20304816395	64774.16411904449	105968.03200645278	34762.15642379234
-555.7003749465289	64853.939222556444	63280.78202845431	104092.40325398475	33782.520182512984
-683.8353936938553	63435.06194511229	61807.5581722403	102798.01161936154	32697.204253507894
-811.9704124411817	62190.9826877486	60511.92224256601	101138.99778929306	31378.425122726687
-940.1054311885081	60901.67426421708	59281.07689373776	100257.12851474152	30014.215809895904
-1068.2404499358345	59485.667491631575	57784.25338754435	98771.48014351976	28670.42319366066
-1196.375468683161	58160.13127274527	56545.484305092694	96942.16827988256	27476.398881066336
-1324.5104874304875	56776.412059201546	55279.156881464216	95581.13631027531	25527.1835581668
-1452.645506177814	55376.06255446409	54024.20410333918	93850.59275724442	24200.444060515267
-1580.7805249251405	54212.54399237079	52887.52615453297	92571.01774649725	23114.885643215326
-1708.915543672467	53104.71821191484	51679.26326887265	91436.41926968176	22343.090119754816
-1837.0505624197936	51838.04828258449	50430.24913633524	89883.13934601718	21002.955029813562
-1965.18558116712	50635.7274169701	49385.912860536475	88576.41788428559	19953.880910099768
-2093.3205999144466	49440.26976983689	48364.02221693946	87870.61638253616	19244.28863754924
-2221.455618661773	48187.83485010207	47198.053445819096	86707.31748430606	18401.212262796333
-2349.590637409099	46705.26152503855	45642.71670093561	85150.28876046611	17415.803114540686
-2477.7256561564254	45411.01289886077	44054.276824648216	83909.63975384446	16561.145430504002
-2605.8606749037517	43961.80203798688	42208.44512793581	82640.51262399202	15859.957663207737
-2733.995693651078	42486.723447177	40201.45723976755	81443.1142695751	14966.417697520788
-2862.1307123984043	40997.71292999311	38432.21557179669	80460.21857264717	14313.201444651533
-2990.2657311457306	39422.89312674858	36321.49361900315	79339.94346711556	13623.10326440789
-3118.400749893057	37786.39932838314	34194.46495086467	78235.09979525281	12856.933856811569
-3246.535768640383	35865.8490547902	31512.954539569375	76436.80357772886	11889.417525178877
-3374.6707873877094	34127.147095833825	29225.73344170791	74977.93716626013	11445.277769183353
-3502.8058061350357	32414.01512051751	27252.522381256807	73693.9174860253	10813.01905217043
-3630.940824882362	30542.712895643377	25225.453845272208	71756.84762243221	10252.322531374015
-3759.0758436296883	28947.845354163124	23784.525472914647	70098.45223989649	9947.79158506113
-3887.2108623770146	27298.427517666456	22563.097926060538	67677.65493583921	9585.425194256004
-4015.345881124341	25908.08663996975	21568.892153114306	64982.67217808195	9236.195778153557
-4143.480899871667	24591.299022501535	20617.519018901607	60338.11993208158	9020.42554227212
-4271.615918618993	23574.32387164053	19912.681257344924	58115.06631346575	8786.001193054542
-4399.75093736632	22662.09365014461	19351.383214919482	55401.634826800226	8620.358178299843
-4527.885956113646	21960.222939389623	19003.38878879722	53041.94099261579	8514.561567456356
-4656.020974860972	21334.00059942836	18598.074928648148	50172.245282135984	8367.98864795885
-4784.155993608299	20836.39911438641	18237.76605756557	48348.09691956307	8235.755125661992
-4912.291012355625	20372.41204687887	17977.09527705641	46595.056132369195	8132.170611309567
-5040.426031102951	20064.472178831333	17801.1135045158	45390.857821259415	8055.268986342283
-5168.561049850277	19830.516191107963	17609.76803460035	44339.98485973752	7995.545925987408
-5296.696068597604	19648.7809690869	17458.62788551842	43620.266045000455	7966.818118008533
-5424.83108734493	19468.313393704335	17317.270385823467	43151.03234258281	7874.773042573365
-5552.966106092256	19331.684601871286	17196.69192619558	42667.73631200556	7778.4466187184435
-5681.101124839583	19216.37182634441	17131.465000222393	42235.64020464856	7733.200581091539
-5809.236143586909	19104.46535954404	17041.7098967033	41671.75745736057	7679.0809547700665
-5937.371162334235	19056.88793906459	17003.657302648357	41666.73900779162	7629.267378300434
-6065.506181081561	18983.77630861861	16954.9015509893	41526.78793050319	7559.302265079926
-6193.641199828888	18895.197046172674	16902.775893991507	41381.65665684367	7464.901700090438
-6321.776218576214	18805.845330979617	16835.277720804042	41151.397702750226	7368.164160610332
-6449.91123732354	18727.011545187357	16762.547151437633	41036.26720064889	7305.086293878649
-6578.046256070867	18631.842774758512	16695.611898711897	40657.8324876549	7243.312348204429
-6706.181274818193	18525.724664299767	16602.43476368849	40332.36593515018	7152.55948207671
-6834.316293565519	18398.720818065558	16524.45608176392	40142.63506299492	6989.288035080872
-6962.451312312845	18251.310191822675	16399.166044101243	39971.72331432581	6797.791471463604
-7090.586331060172	18086.845659186947	16248.314930048047	39664.17667367441	6497.366236674727
-7218.721349807498	17902.035537005588	16102.258922583516	39476.80097886839	6316.626256095236
-7346.856368554824	17702.275480904278	15935.903528017845	39077.53026456205	5880.659825830094
-7474.9913873021505	17459.2640133306	15704.201404629199	38621.7737559877	5479.65723227516
-7603.126406049477	17241.327160476136	15559.648619593641	38425.788713310525	4986.932053149964
-7731.261424796803	16996.76424062446	15367.526195848674	37921.30270238921	4674.392765490195
-7859.396443544129	16761.08295038473	15198.287774604662	37616.468167139676	4385.998855914021
-7987.531462291456	16477.2665964648	14989.853844391868	37142.961335067586	4064.2317518435693
-8115.666481038782	16171.537270469711	14738.425049002986	36831.21585382277	3767.7369978920856
-8243.801499786108	15930.642280018657	14564.144464717743	36367.51160148687	3579.775784753388
-8371.936518533435	15671.012474299785	14352.466126180878	35646.33714266319	3469.6932865377953
-8500.071537280763	15422.848327265194	14133.728931093665	35306.71581652016	3268.6882252174164
-8628.20655602809	15157.893980669767	13936.941441252935	34591.23046737321	3087.213115161591
-8756.341574775417	14869.616274670283	13704.8415693211	33957.1671173256	2917.445811403617
-8884.476593522744	14613.141890642177	13499.111599889326	33409.78979239664	2820.8104061037175
-9012.611612270071	14374.363382244534	13293.726000529998	32722.05768474171	2692.3670354292467
-9140.746631017399	14156.693146241041	13112.55427351228	32262.57484921395	2603.6558185143253
-9268.881649764726	13974.667099912993	12981.864349596624	31666.96849918607	2517.427133371882
-9397.016668512053	13775.219487507049	12828.364746760972	31259.370009329756	2403.603190751644
-9525.15168725938	13630.651646254051	12715.828884828306	30966.110818282814	2314.0688045033057
-9653.286706006707	13493.330978972856	12621.719894739983	30635.579629211898	2281.7726240401626
-9781.421724754035	13389.894305072035	12537.309829234608	30569.08211718278	2260.702411349596
-9909.556743501362	13297.977235314678	12478.999477221432	30373.773242290546	2236.186150530624
-10037.691762248689	13215.527835192652	12411.43478636332	30137.85574701913	2202.9862683989013
-10165.826780996016	13146.16622083443	12348.795266631774	29970.618489920646	2177.667646223123
-10293.961799743343	13091.365260944356	12300.799808063963	29970.618489920646	2138.483097383383
-10422.09681849067	13047.141735623023	12258.742318334092	29765.005622718323	2088.965831452227
-10550.231837237998	12989.924435844823	12203.507349682903	29747.147386678305	2061.7955498745036
-10678.366855985325	NaN	NaN	NaN	NaN
